# onion skin A3d strip probe
# comp	1920	1080
ms	pw	ph	x0	x1	y0	y1	span_w	span_h	zoom_x	zoom_y	axis_diff_pct	cost_ms	status	win_ok	wx0	wy0	dx	dy	win_cost_ms
15343.4	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	23.4938	ok	0	0	0	-9999	-9999	0.0000
15390.1	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	26.5758	ok	0	0	0	-9999	-9999	0.0000
15437.2	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	12.5037	ok	0	0	0	-9999	-9999	0.0000
15469.6	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	15.6147	ok	0	0	0	-9999	-9999	0.0000
15516.4	1592	734	38	1117	4	610	1080	607	0.562500	0.562037	0.082	17.7910	ok	0	0	0	-9999	-9999	0.0000
15562.5	1592	734	5	1084	0	0	0	0	0.000000	0.000000	0.000	21.3022	no_edge	0	0	0	-9999	-9999	0.0000
15610.3	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	23.5243	no_edge	0	0	0	-9999	-9999	0.0000
15657.0	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	26.7892	no_edge	0	0	0	-9999	-9999	0.0000
15704.5	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	12.5911	no_edge	0	0	0	-9999	-9999	0.0000
15734.9	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	15.1666	no_edge	0	0	0	-9999	-9999	0.0000
15766.4	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	16.8362	no_edge	0	0	0	-9999	-9999	0.0000
15813.5	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	20.0969	no_edge	0	0	0	-9999	-9999	0.0000
15859.5	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	24.3910	no_edge	0	0	0	-9999	-9999	0.0000
15906.2	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	27.1263	no_edge	0	0	0	-9999	-9999	0.0000
15953.3	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	12.9776	no_edge	0	0	0	-9999	-9999	0.0000
15985.6	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	15.8746	no_edge	0	0	0	-9999	-9999	0.0000
16032.8	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	17.1955	no_edge	0	0	0	-9999	-9999	0.0000
16079.4	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	20.1685	no_edge	0	0	0	-9999	-9999	0.0000
16126.3	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	23.3463	no_edge	0	0	0	-9999	-9999	0.0000
16173.0	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	26.6789	no_edge	0	0	0	-9999	-9999	0.0000
16221.0	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	12.7552	no_edge	0	0	0	-9999	-9999	0.0000
16252.6	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	14.2080	no_edge	0	0	0	-9999	-9999	0.0000
16284.3	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	16.1079	no_edge	0	0	0	-9999	-9999	0.0000
16331.5	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	18.9254	no_edge	0	0	0	-9999	-9999	0.0000
16379.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	21.3439	no_edge	0	0	0	-9999	-9999	0.0000
16426.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	23.4784	no_edge	0	0	0	-9999	-9999	0.0000
16473.7	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	27.6496	no_edge	0	0	0	-9999	-9999	0.0000
16520.6	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	13.1429	no_edge	0	0	0	-9999	-9999	0.0000
16551.9	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	15.1124	no_edge	0	0	0	-9999	-9999	0.0000
16598.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	19.1543	no_edge	0	0	0	-9999	-9999	0.0000
16645.9	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	20.7795	no_edge	0	0	0	-9999	-9999	0.0000
16693.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	23.4668	no_edge	0	0	0	-9999	-9999	0.0000
16739.9	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	26.5370	no_edge	0	0	0	-9999	-9999	0.0000
16787.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	12.9234	no_edge	0	0	0	-9999	-9999	0.0000
16819.1	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	14.1679	no_edge	0	0	0	-9999	-9999	0.0000
16850.8	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	15.5382	no_edge	0	0	0	-9999	-9999	0.0000
16897.2	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	19.7838	no_edge	0	0	0	-9999	-9999	0.0000
16944.5	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	22.2575	no_edge	0	0	0	-9999	-9999	0.0000
16990.7	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	27.9474	no_edge	0	0	0	-9999	-9999	0.0000
17038.0	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	11.7590	no_edge	0	0	0	-9999	-9999	0.0000
17068.8	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	14.2351	no_edge	0	0	0	-9999	-9999	0.0000
