# onion skin A3e capture stream (dedicated thread)
# comp	1920	1080
t_ms	pw	ph	sx	sy	tx	ty	axis_diff_pct	cost_ms	status
61508.826	1592	729	0.333333	0.333333	437.00	87.00	0.000	15.0951	ok
61524.912	1592	729	0.333333	0.333333	458.00	87.00	0.000	17.0566	ok
61541.220	1592	729	0.333333	0.333333	458.00	87.00	0.000	15.5421	ok
61558.400	1592	729	0.333333	0.333333	495.00	87.00	0.000	18.7964	ok
61575.165	1592	729	0.333333	0.333333	525.00	87.00	0.000	14.7134	ok
61590.658	1592	729	0.333333	0.333333	533.00	87.00	0.000	16.2545	ok
61607.371	1592	729	0.333333	0.333333	554.00	87.00	0.000	17.1507	ok
61624.021	1592	729	0.333333	0.333333	571.00	87.00	0.000	16.1296	ok
61640.786	1592	729	0.333333	0.333333	589.00	87.00	0.000	17.3812	ok
61657.943	1592	729	0.333333	0.333333	608.00	90.00	0.000	16.9123	ok
61674.490	1592	729	0.333333	0.333333	625.00	94.00	0.000	16.1609	ok
61691.056	1592	729	0.333333	0.333333	643.00	98.00	0.000	16.9584	ok
61707.700	1592	729	0.333333	0.333333	658.00	104.00	0.000	16.3107	ok
61724.086	1592	729	0.333333	0.333333	674.00	110.00	0.000	16.4434	ok
61740.351	1592	729	0.333333	0.333333	688.00	114.00	0.000	16.0591	ok
61757.465	1592	729	0.333333	0.333333	700.00	121.00	0.000	18.1506	ok
61774.766	1592	729	0.333333	0.333333	711.00	126.00	0.000	16.4332	ok
61791.517	1592	729	0.333333	0.333333	720.00	131.00	0.000	17.0482	ok
61808.056	1592	729	0.333333	0.333333	720.00	131.00	0.000	16.0105	ok
61824.294	1592	729	0.333333	0.333333	738.00	145.00	0.000	16.4470	ok
61840.794	1592	729	0.333333	0.333333	750.00	157.00	0.000	16.5317	ok
61857.484	1592	729	0.333333	0.333333	753.00	161.00	0.000	16.8302	ok
61873.855	1592	729	0.333333	0.333333	759.00	168.00	0.000	15.8923	ok
61890.714	1592	729	0.333333	0.333333	765.00	175.00	0.000	17.8080	ok
61907.893	1592	729	0.333333	0.333333	770.00	184.00	0.000	16.5323	ok
61924.338	1592	729	0.333333	0.333333	773.00	191.00	0.000	16.3371	ok
61940.846	1592	729	0.333333	0.333333	776.00	199.00	0.000	16.6626	ok
61957.615	1592	729	0.333333	0.333333	776.00	207.00	0.000	16.8318	ok
61974.540	1592	729	0.333333	0.333333	776.00	215.00	0.000	16.9976	ok
61991.203	1592	729	0.336979	0.333333	0.00	0.00	1.094	16.3090	axis_disagree
62008.430	1592	729	0.333333	0.333333	770.00	231.00	0.000	18.0348	ok
62025.293	1592	729	0.333333	0.333333	764.00	239.00	0.000	15.6684	ok
62041.163	1592	729	0.333333	0.333333	757.00	247.00	0.000	16.0523	ok
62057.607	1592	729	0.333333	0.333333	748.00	253.00	0.000	16.8164	ok
62075.169	1592	729	0.333333	0.333333	739.00	260.00	0.000	18.2891	ok
62091.741	1592	729	0.333333	0.333333	729.00	266.00	0.000	14.8351	ok
62107.402	1592	729	0.333333	0.333333	720.00	271.00	0.000	16.4678	ok
62124.876	1592	729	0.333333	0.333333	711.00	275.00	0.000	18.4596	ok
62142.504	1592	729	0.333333	0.333333	698.00	280.00	0.000	16.7719	ok
62158.577	1592	729	0.333333	0.333333	687.00	285.00	0.000	15.3516	ok
62174.466	1592	729	0.333333	0.333333	674.00	289.00	0.000	16.4084	ok
62191.159	1592	729	0.333333	0.333333	661.00	291.00	0.000	16.9605	ok
62207.907	1592	729	0.333333	0.333333	645.00	294.00	0.000	16.5164	ok
62224.411	1592	729	0.333333	0.333333	628.00	296.00	0.000	16.4537	ok
62241.073	1592	729	0.333333	0.333333	613.00	296.00	0.000	16.8499	ok
62257.671	1592	729	0.333333	0.333333	595.00	296.00	0.000	16.3275	ok
62274.066	1592	729	0.333333	0.333333	595.00	296.00	0.000	16.4432	ok
62291.503	1592	729	0.333333	0.333333	560.00	296.00	0.000	18.4119	ok
62308.272	1592	729	0.333333	0.333333	533.00	296.00	0.000	14.9943	ok
62323.917	1592	729	0.333333	0.333333	525.00	296.00	0.000	16.2758	ok
62341.049	1592	729	0.333333	0.333333	509.00	296.00	0.000	17.9695	ok
62358.682	1592	729	0.333333	0.333333	493.00	296.00	0.000	17.2742	ok
62374.726	1592	729	0.333333	0.333333	475.00	296.00	0.000	14.7936	ok
62391.482	1592	729	0.333333	0.333333	459.00	296.00	0.000	18.7086	ok
62408.199	1592	729	0.333333	0.333333	440.00	296.00	0.000	14.7058	ok
62423.697	1592	729	0.333333	0.333333	424.00	296.00	0.000	16.2686	ok
62440.239	1592	729	0.333333	0.333333	408.00	296.00	0.000	16.7985	ok
62457.268	1592	729	0.333333	0.333333	391.00	296.00	0.000	17.2388	ok
62474.372	1592	729	0.333333	0.333333	374.00	296.00	0.000	16.9488	ok
62490.983	1592	729	0.333333	0.333333	359.00	296.00	0.000	16.2535	ok
62507.597	1592	729	0.333333	0.333333	342.00	296.00	0.000	16.9559	ok
62526.063	1592	729	0.333333	0.333333	327.00	296.00	0.000	19.9538	ok
62543.200	1592	729	0.333333	0.333333	313.00	296.00	0.000	14.3030	ok
62558.260	1592	729	0.333333	0.333333	301.00	296.00	0.000	15.7974	ok
62574.263	1592	729	0.333333	0.333333	288.00	296.00	0.000	16.1888	ok
62591.219	1592	729	0.333333	0.333333	279.00	296.00	0.000	17.7054	ok
62607.896	1592	729	0.333333	0.333333	266.00	296.00	0.000	15.6280	ok
62624.018	1592	729	0.333333	0.333333	254.00	296.00	0.000	16.5952	ok
62640.809	1592	729	0.333333	0.333333	243.00	296.00	0.000	16.9756	ok
62658.507	1592	729	0.333333	0.333333	232.00	296.00	0.000	18.4062	ok
62674.860	1592	729	0.333333	0.333333	223.00	296.00	0.000	14.2784	ok
62690.223	1592	729	0.333333	0.333333	214.00	296.00	0.000	16.4291	ok
62706.794	1592	729	0.333333	0.339815	0.00	0.00	1.907	16.6928	axis_disagree
62723.569	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.8390	no_edge
62740.460	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9243	no_edge
62756.898	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.9345	no_edge
62773.136	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5249	no_edge
62790.311	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.8086	no_edge
62807.318	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.1846	no_edge
62823.631	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.4269	no_edge
62840.484	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2622	no_edge
62857.234	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2218	no_edge
62873.593	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.4779	no_edge
62890.483	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2844	no_edge
62907.466	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6623	no_edge
62923.901	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.1886	no_edge
62940.433	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.8639	no_edge
62957.357	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9665	no_edge
62974.592	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.4852	no_edge
62991.152	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.6178	no_edge
63007.316	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6934	no_edge
63024.774	1592	729	0.333333	0.333333	215.00	296.00	0.000	18.2035	ok
