frame	probe_ms	comp_l	green_l	slip	status
1536	16639.0	588	590	2	ok
1537	16655.7	588	590	2	ok
1538	16672.3	588	590	2	ok
1539	16689.0	588	590	2	ok
1540	16705.7	588	590	2	ok
1541	16722.3	588	590	2	ok
1542	16739.0	588	590	2	ok
1543	16755.7	588	590	2	ok
1544	16772.3	588	590	2	ok
1545	16789.0	588	590	2	ok
1546	16805.7	588	590	2	ok
1547	16822.3	588	590	2	ok
1548	16839.0	588	590	2	ok
1549	16855.7	588	590	2	ok
1550	16872.3	588	590	2	ok
1551	16889.0	588	590	2	ok
1552	16905.7	588	590	2	ok
1553	16922.3	588	590	2	ok
1554	16939.0	588	590	2	ok
1555	16955.7	588	590	2	ok
1556	16972.3	588	590	2	ok
1557	16989.0	588	590	2	ok
1558	17005.7	588	590	2	ok
1559	17022.3	588	590	2	ok
1560	17039.0	588	590	2	ok
1561	17055.7	588	590	2	ok
1562	17072.3	588	590	2	ok
1563	17089.0	588	590	2	ok
1564	17105.7	588	590	2	ok
1565	17122.3	588	590	2	ok
1566	17139.0	588	590	2	ok
1567	17155.7	588	590	2	ok
1568	17172.3	588	590	2	ok
1569	17189.0	588	590	2	ok
1570	17205.7	588	590	2	ok
1571	17222.3	588	590	2	ok
1572	17239.0	588	590	2	ok
1573	17255.7	588	590	2	ok
1574	17272.3	588	590	2	ok
1575	17289.0	588	590	2	ok
1576	17305.7	588	590	2	ok
1577	17322.3	588	590	2	ok
1578	17339.0	588	590	2	ok
1579	17355.7	588	590	2	ok
1580	17372.3	588	590	2	ok
1581	17389.0	588	590	2	ok
1582	17405.7	588	590	2	ok
1583	17422.3	588	590	2	ok
1584	17439.0	588	590	2	ok
1585	17455.7	588	590	2	ok
1586	17472.3	588	590	2	ok
1587	17489.0	588	590	2	ok
1588	17505.7	588	590	2	ok
1589	17522.3	588	590	2	ok
1590	17539.0	588	590	2	ok
1591	17555.7	588	590	2	ok
1592	17572.3	588	590	2	ok
1593	17589.0	588	590	2	ok
1594	17605.7	588	590	2	ok
1595	17622.3	588	590	2	ok
1596	17639.0	588	590	2	ok
1597	17655.7	588	590	2	ok
1598	17672.3	588	590	2	ok
1599	17689.0	588	590	2	ok
1600	17705.7	588	590	2	ok
1601	17722.3	588	590	2	ok
1602	17739.0	588	590	2	ok
1603	17755.7	588	590	2	ok
1604	17772.3	588	590	2	ok
1605	17789.0	588	590	2	ok
1606	17805.7	588	590	2	ok
1607	17822.3	588	590	2	ok
1608	17839.0	588	590	2	ok
1609	17855.7	588	590	2	ok
1610	17872.3	588	590	2	ok
1611	17889.0	588	590	2	ok
1612	17905.7	588	590	2	ok
1613	17922.3	588	590	2	ok
1614	17939.0	588	590	2	ok
1615	17955.7	588	590	2	ok
1616	17972.3	588	590	2	ok
1617	17989.0	588	590	2	ok
1618	18005.7	588	590	2	ok
1619	18022.3	588	590	2	ok
1620	18039.0	588	590	2	ok
1621	18055.7	588	590	2	ok
1622	18072.3	588	590	2	ok
1623	18089.0	588	590	2	ok
1624	18105.7	588	590	2	ok
1625	18122.3	588	590	2	ok
1626	18139.0	588	590	2	ok
1627	18155.7	588	590	2	ok
1628	18172.3	588	590	2	ok
1629	18189.0	588	590	2	ok
1630	18205.7	588	590	2	ok
1631	18222.3	588	590	2	ok
1632	18239.0	588	590	2	ok
1633	18255.7	588	590	2	ok
1634	18272.3	588	590	2	ok
1635	18289.0	588	590	2	ok
1636	18305.7	588	590	2	ok
1637	18322.3	588	590	2	ok
1638	18339.0	588	590	2	ok
1639	18355.7	588	590	2	ok
1640	18372.3	588	590	2	ok
1641	18389.0	588	590	2	ok
1642	18405.7	588	590	2	ok
1643	18422.3	588	590	2	ok
1644	18439.0	588	590	2	ok
1645	18455.7	588	590	2	ok
1646	18472.3	588	590	2	ok
1647	18489.0	588	590	2	ok
1648	18505.7	588	590	2	ok
1649	18522.3	588	590	2	ok
1650	18539.0	588	590	2	ok
1651	18555.7	588	590	2	ok
1652	18572.3	588	590	2	ok
1653	18589.0	588	590	2	ok
1654	18605.7	588	590	2	ok
1655	18622.3	588	590	2	ok
1656	18639.0	588	590	2	ok
1657	18655.7	588	590	2	ok
1658	18672.3	588	590	2	ok
1659	18689.0	588	590	2	ok
1660	18705.7	588	590	2	ok
1661	18722.3	588	590	2	ok
1662	18739.0	588	590	2	ok
1663	18755.7	588	590	2	ok
1664	18772.3	588	590	2	ok
1665	18789.0	588	590	2	ok
