# onion skin A3e paint log
# comp	1920	1080
# stale_ms	100.0
t_ms	src_t_ms	tx	ty	sx	have_stale	stale_t_ms	stale_tx	stale_ty	paint_ms
12603.824	12592.130	263.00	101.00	0.500000	1	12492.317	263.00	101.00	1.8773
12637.150	12625.718	263.00	101.00	0.500000	1	12525.692	263.00	101.00	1.6753
12645.189	12625.718	263.00	101.00	0.500000	1	12543.129	263.00	101.00	1.7992
12676.806	12659.158	263.00	101.00	0.500000	1	12575.649	263.00	101.00	1.5310
12709.448	12692.360	263.00	101.00	0.500000	1	12608.778	263.00	101.00	1.6608
12725.466	12708.974	263.00	101.00	0.500000	1	12608.778	263.00	101.00	1.6763
12754.804	12742.243	263.00	101.00	0.500000	1	12642.417	263.00	101.00	1.6261
12770.829	12758.729	263.00	101.00	0.500000	1	12659.158	263.00	101.00	1.7134
12802.806	12792.308	263.00	101.00	0.500000	1	12692.360	263.00	101.00	1.5407
12833.832	12825.268	263.00	101.00	0.500000	1	12725.660	263.00	101.00	1.5490
12852.876	12842.123	263.00	101.00	0.500000	1	12742.243	263.00	101.00	1.9012
12881.701	12858.935	263.00	101.00	0.500000	1	12775.443	263.00	101.00	1.8423
12896.390	12875.689	263.00	101.00	0.500000	1	12792.308	263.00	101.00	1.6742
